2022-02-22 09:35:32,462 DEBUG [main] com.LoggerManager (CalendarEx01Main.java:37)     - java.util.GregorianCalendar[time=1645490132461,areFieldsSet=true,areAllFieldsSet=true,lenient=true,zone=sun.util.calendar.ZoneInfo[id="Asia/Seoul",offset=32400000,dstSavings=0,useDaylight=false,transitions=22,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2022,MONTH=1,WEEK_OF_YEAR=9,WEEK_OF_MONTH=4,DAY_OF_MONTH=22,DAY_OF_YEAR=53,DAY_OF_WEEK=3,DAY_OF_WEEK_IN_MONTH=4,AM_PM=0,HOUR=9,HOUR_OF_DAY=9,MINUTE=35,SECOND=32,MILLISECOND=461,ZONE_OFFSET=32400000,DST_OFFSET=0]
2022-02-22 10:04:53,759 DEBUG [main] com.LoggerManager (CalendarEx02Main.java:33)     - 2022
2022-02-22 10:06:13,817 DEBUG [main] com.LoggerManager (CalendarEx02Main.java:36)     - 이해의 연도 : 2022
2022-02-22 10:06:13,818 DEBUG [main] com.LoggerManager (CalendarEx02Main.java:37)     - 월(0~11)월 : 1
2022-02-22 10:06:37,357 DEBUG [main] com.LoggerManager (CalendarEx02Main.java:36)     - 이해의 연도 : 2022
2022-02-22 10:06:37,359 DEBUG [main] com.LoggerManager (CalendarEx02Main.java:37)     - 월(0~11)월 : 2
2022-02-22 10:08:17,661 DEBUG [main] com.LoggerManager (CalendarEx02Main.java:38)     - 이해의 연도 : 2022
2022-02-22 10:08:17,663 DEBUG [main] com.LoggerManager (CalendarEx02Main.java:39)     - 월(0~11)월 : 2
2022-02-22 10:08:17,663 DEBUG [main] com.LoggerManager (CalendarEx02Main.java:40)     - 일 : 22
2022-02-22 10:09:47,831 DEBUG [main] com.LoggerManager (CalendarEx02Main.java:38)     - 이해의 연도 : 2022
2022-02-22 10:09:47,832 DEBUG [main] com.LoggerManager (CalendarEx02Main.java:39)     - 월(0~11)월 : 2
2022-02-22 10:09:47,833 DEBUG [main] com.LoggerManager (CalendarEx02Main.java:40)     - 일 : 22
2022-02-22 10:09:47,833 DEBUG [main] com.LoggerManager (CalendarEx02Main.java:42)     - ==========================
2022-02-22 10:09:47,833 DEBUG [main] com.LoggerManager (CalendarEx02Main.java:43)     - 2022년2월22일
2022-02-22 10:12:54,975 DEBUG [main] com.LoggerManager (CalendarEx02Main.java:38)     - 이해의 연도 : 2022
2022-02-22 10:12:54,977 DEBUG [main] com.LoggerManager (CalendarEx02Main.java:39)     - 월(0~11)월 : 2
2022-02-22 10:12:54,977 DEBUG [main] com.LoggerManager (CalendarEx02Main.java:40)     - 일 : 22
2022-02-22 10:12:54,977 DEBUG [main] com.LoggerManager (CalendarEx02Main.java:42)     - ==========================
2022-02-22 10:12:54,977 DEBUG [main] com.LoggerManager (CalendarEx02Main.java:43)     - 2022년2월22일
2022-02-22 10:12:54,977 DEBUG [main] com.LoggerManager (CalendarEx02Main.java:47)     - 1(일요일)~7(토요일)3
2022-02-22 10:13:04,998 DEBUG [main] com.LoggerManager (CalendarEx02Main.java:38)     - 이해의 연도 : 2022
2022-02-22 10:13:04,999 DEBUG [main] com.LoggerManager (CalendarEx02Main.java:39)     - 월(0~11)월 : 2
2022-02-22 10:13:04,999 DEBUG [main] com.LoggerManager (CalendarEx02Main.java:40)     - 일 : 22
2022-02-22 10:13:04,999 DEBUG [main] com.LoggerManager (CalendarEx02Main.java:42)     - ==========================
2022-02-22 10:13:05,000 DEBUG [main] com.LoggerManager (CalendarEx02Main.java:43)     - 2022년2월22일
2022-02-22 10:13:05,000 DEBUG [main] com.LoggerManager (CalendarEx02Main.java:47)     - 1(일요일)~7(토요일) : 3
2022-02-22 10:15:45,989 DEBUG [main] com.LoggerManager (CalendarEx02Main.java:38)     - 이해의 연도 : 2022
2022-02-22 10:15:45,990 DEBUG [main] com.LoggerManager (CalendarEx02Main.java:39)     - 월(0~11)월 : 2
2022-02-22 10:15:45,990 DEBUG [main] com.LoggerManager (CalendarEx02Main.java:40)     - 일 : 22
2022-02-22 10:15:45,990 DEBUG [main] com.LoggerManager (CalendarEx02Main.java:42)     - ==========================
2022-02-22 10:15:45,990 DEBUG [main] com.LoggerManager (CalendarEx02Main.java:43)     - 2022년2월22일
2022-02-22 10:15:45,990 DEBUG [main] com.LoggerManager (CalendarEx02Main.java:47)     - 1(일요일)~7(토요일) : 3
